# ThriveSpace Synthetic Wellness & Burnout Prototype Dataset
# NOTICE: This dataset is synthetic and is used only to demonstrate the machine-learning pipeline.
# Model results must not be interpreted as clinical or diagnostic evidence.
# Target: 0 = Low Risk, 1 = Moderate Risk, 2 = Elevated Risk
sleep_hours,work_study_hours,stress_level,physical_activity_minutes,mood_rating,journal_sentiment,negative_emotion_frequency,synthetic_risk_index,risk_class
6.5,3.7,3,52.0,3,-0.283,0.066,26.5,0
8.5,5.0,4,59.0,3,-0.086,0.105,22.3,0
8.6,6.7,2,18.0,3,0.055,0.0,25.8,0
8.3,7.0,3,31.0,5,0.57,0.0,11.3,0
9.6,7.7,7,23.0,5,0.259,0.181,28.9,0
4.1,11.4,9,0.0,2,-0.071,0.603,76.0,2
3.7,10.5,9,16.0,1,-0.512,0.725,80.7,2
6.7,11.3,10,47.0,2,-0.648,0.659,67.1,2
7.4,7.9,3,34.0,4,0.022,0.0,24.8,0
6.7,7.2,5,3.0,3,0.111,0.186,41.1,1
7.3,9.1,5,38.0,5,0.76,0.032,22.8,0
5.2,9.5,7,38.0,3,0.246,0.487,51.6,1
5.1,10.9,8,10.0,2,-0.61,0.6,69.5,2
8.7,4.6,3,58.0,5,0.749,0.0,4.4,0
7.7,4.3,3,36.0,5,0.233,0.0,11.2,0
5.6,7.9,5,10.0,4,0.442,0.196,39.7,1
3.7,12.9,8,19.0,2,-0.303,0.552,74.8,2
10.4,8.1,2,25.0,5,0.293,0.0,16.7,0
6.6,11.2,9,12.0,1,-0.412,0.764,74.2,2
8.0,6.0,1,49.0,5,0.449,0.0,4.6,0
6.7,10.5,4,38.0,3,-0.235,0.225,42.4,1
6.4,8.4,6,15.0,3,0.004,0.406,45.8,1
5.3,8.9,9,5.0,2,-0.605,0.654,68.6,2
8.1,6.1,4,51.0,4,0.573,0.031,15.2,0
6.9,7.8,6,24.0,3,-0.153,0.301,40.3,1
6.8,6.7,6,18.0,4,0.103,0.2,34.8,1
8.1,6.0,3,40.0,5,0.122,0.0,16.1,0
7.8,5.0,3,59.0,4,0.256,0.0,11.6,0
7.8,5.7,4,28.0,4,0.433,0.059,21.7,0
3.9,12.8,10,8.0,2,-0.404,0.736,84.6,2
7.2,9.4,4,18.0,4,0.028,0.0,31.4,0
5.5,12.5,9,0.0,2,-0.401,0.612,78.4,2
4.5,10.0,9,27.0,2,-0.392,0.693,73.9,2
7.0,8.4,7,29.0,3,-0.409,0.468,48.1,1
6.7,9.1,6,28.0,1,-0.376,0.474,56.4,1
10.1,4.5,3,61.0,3,0.049,0.0,21.8,0
6.2,10.7,6,9.0,2,-0.297,0.371,58.7,1
7.4,3.9,3,55.0,5,0.457,0.0,9.5,0
8.3,6.6,3,61.0,4,0.22,0.0,13.4,0
7.4,8.3,3,71.0,5,0.477,0.0,18.5,0
5.5,7.6,6,26.0,3,-0.113,0.42,47.7,1
8.9,10.1,6,4.0,2,-0.27,0.331,50.9,1
4.7,11.4,10,10.0,3,-0.07,0.661,70.3,2
8.3,3.8,3,13.0,4,0.225,0.0,22.0,0
5.4,11.6,10,14.0,1,-0.497,0.951,80.9,2
8.3,5.5,1,53.0,5,0.365,0.0,8.2,0
4.9,9.9,5,9.0,3,-0.502,0.451,54.4,1
6.8,8.9,5,14.0,4,0.416,0.249,35.6,1
4.9,9.0,8,17.0,1,-0.339,0.633,68.6,2
3.4,12.8,8,32.0,1,-0.34,0.549,78.4,2
5.8,10.0,4,34.0,3,0.27,0.01,40.4,1
5.8,9.1,6,35.0,3,0.43,0.163,42.7,1
7.6,7.4,5,14.0,2,-0.234,0.29,42.4,1
3.5,9.8,10,10.0,2,-0.399,0.687,79.0,2
7.7,8.6,4,3.0,3,0.315,0.182,34.2,1
8.9,6.0,4,52.0,4,-0.028,0.15,22.7,0
8.2,8.0,6,19.0,4,0.238,0.09,31.4,0
5.7,11.3,6,62.0,4,0.533,0.281,40.2,1
9.5,6.8,5,54.0,4,0.263,0.145,21.8,0
4.4,8.6,7,0.0,3,0.033,0.234,56.1,1
4.8,10.8,8,9.0,3,0.013,0.445,64.9,1
9.3,4.5,4,42.0,4,0.158,0.008,16.2,0
7.3,6.3,5,7.0,2,-0.538,0.375,48.0,1
9.3,5.7,3,76.0,5,0.364,0.0,7.8,0
7.8,6.5,3,54.0,4,0.379,0.0,16.7,0
5.3,12.4,8,0.0,3,-0.0,0.466,64.0,1
5.2,10.4,10,14.0,1,-0.215,0.655,76.7,2
4.8,12.8,10,10.0,2,-0.383,0.54,75.5,2
6.1,11.5,9,19.0,2,0.006,0.674,66.7,1
5.6,11.9,8,15.0,2,-0.013,0.585,67.8,2
5.4,12.0,10,8.0,1,-0.816,1.0,84.0,2
7.3,6.0,7,26.0,2,-0.347,0.397,46.6,1
5.5,12.3,8,2.0,1,-0.353,0.773,78.2,2
6.8,9.2,5,23.0,3,0.046,0.176,41.2,1
6.5,5.3,6,37.0,5,0.522,0.117,24.7,0
8.0,7.8,2,33.0,5,1.0,0.0,10.1,0
6.7,10.3,7,0.0,2,-0.293,0.652,60.5,1
6.2,7.4,6,13.0,4,0.305,0.246,38.2,1
6.5,10.8,5,1.0,2,-0.565,0.448,59.4,1
5.1,6.4,8,0.0,3,0.253,0.418,55.7,1
4.8,13.7,7,35.0,1,-0.574,0.566,73.9,2
9.2,4.1,2,40.0,5,0.278,0.0,8.0,0
5.5,12.4,8,32.0,1,-0.915,0.68,77.6,2
6.0,10.3,7,23.0,3,-0.471,0.341,53.1,1
4.9,10.4,9,7.0,2,-0.704,0.594,71.7,2
6.8,7.5,7,28.0,4,-0.143,0.278,43.7,1
7.4,5.3,1,36.0,5,0.66,0.0,7.4,0
7.3,4.7,4,36.0,3,0.277,0.177,26.7,0
5.3,12.3,10,0.0,2,-0.219,0.789,80.9,2
7.8,7.0,2,71.0,5,0.707,0.0,11.0,0
4.3,10.6,8,4.0,2,-0.482,0.566,75.1,2
7.8,7.7,7,63.0,2,-0.709,0.422,48.9,1
6.6,12.8,5,66.0,4,0.485,0.232,37.7,1
6.2,10.0,5,28.0,3,0.011,0.287,45.3,1
6.5,7.7,5,33.0,3,0.092,0.315,41.1,1
6.8,6.4,7,31.0,3,0.333,0.317,39.1,1
5.6,7.4,5,54.0,3,-0.113,0.254,42.2,1
3.5,10.4,9,5.0,1,-0.725,0.676,84.6,2
7.3,5.7,2,27.0,5,0.684,0.0,12.5,0
5.1,14.4,10,23.0,1,-0.386,0.886,86.1,2
4.7,10.8,9,2.0,3,0.127,0.502,68.7,2
6.8,9.5,6,35.0,2,-0.419,0.502,50.3,1
4.5,10.0,6,32.0,3,-0.144,0.314,54.2,1
7.4,8.4,3,64.0,4,0.427,0.0,17.6,0
6.0,11.0,9,4.0,1,-0.909,0.877,81.0,2
7.5,8.9,5,9.0,2,-0.046,0.474,45.3,1
7.4,6.7,5,21.0,4,0.461,0.132,29.2,0
6.6,9.5,5,20.0,3,-0.034,0.392,46.8,1
6.7,8.8,9,16.0,2,-0.466,0.755,59.7,1
7.0,7.2,6,4.0,4,0.292,0.282,37.2,1
5.0,6.7,5,16.0,2,0.087,0.329,45.9,1
4.6,11.3,8,1.0,1,-0.887,0.586,80.0,2
6.7,9.1,6,1.0,3,-0.194,0.256,48.3,1
10.7,6.1,1,38.0,5,0.679,0.0,5.5,0
8.0,5.0,2,28.0,3,0.162,0.0,18.9,0
5.9,7.5,5,16.0,4,0.281,0.15,38.0,1
4.5,8.8,6,9.0,2,-0.153,0.358,58.7,1
6.8,8.5,5,34.0,2,-0.418,0.368,47.2,1
7.4,11.1,5,0.0,3,0.074,0.338,46.8,1
4.8,8.3,5,34.0,2,-0.481,0.238,53.1,1
5.9,6.9,5,0.0,2,-0.574,0.306,51.2,1
7.8,8.0,4,0.0,4,0.231,0.0,28.4,0
7.4,6.4,3,37.0,4,0.287,0.0,23.1,0
7.0,6.0,8,3.0,3,-0.062,0.433,45.2,1
4.7,11.7,10,4.0,1,-0.801,0.973,90.0,2
6.1,8.5,8,29.0,2,-0.426,0.704,62.1,1
8.5,3.9,5,55.0,3,0.005,0.181,23.6,0
8.5,7.3,2,39.0,3,-0.439,0.072,23.6,0
9.3,8.4,4,0.0,4,0.34,0.054,30.3,0
3.5,10.4,9,4.0,2,-0.572,0.653,77.9,2
6.4,3.7,3,20.0,4,0.293,0.0,21.6,0
5.5,8.6,6,35.0,4,0.142,0.33,42.3,1
10.1,6.1,4,67.0,4,0.144,0.0,21.2,0
5.3,9.4,8,27.0,2,-0.466,0.527,67.7,2
5.5,8.9,8,0.0,2,-0.614,0.485,63.9,1
9.0,6.5,4,51.0,4,0.296,0.103,20.0,0
5.7,7.9,8,25.0,4,0.199,0.41,47.4,1
7.2,9.2,2,45.0,4,0.252,0.0,24.5,0
8.4,9.9,5,14.0,4,0.322,0.165,34.6,1
10.3,5.8,1,45.0,4,0.393,0.0,9.7,0
5.2,9.0,10,0.0,2,-0.463,0.647,74.2,2
6.7,6.0,2,41.0,5,0.67,0.0,10.1,0
8.5,5.0,3,68.0,5,0.71,0.0,5.8,0
9.6,4.7,2,60.0,4,0.477,0.0,10.1,0
5.5,7.1,6,13.0,4,0.301,0.037,41.2,1
6.8,9.6,5,8.0,3,0.437,0.132,39.3,1
7.2,5.1,5,62.0,4,-0.054,0.198,27.1,0
3.1,13.9,7,0.0,1,-0.475,0.549,86.8,2
7.7,12.6,7,34.0,2,-0.167,0.389,56.9,1
6.2,9.3,8,0.0,1,-0.954,0.637,69.3,2
5.5,7.5,5,56.0,4,-0.102,0.099,34.9,1
7.7,3.5,3,38.0,5,0.165,0.0,16.1,0
8.0,8.2,6,53.0,5,0.776,0.136,20.2,0
6.9,10.0,5,31.0,3,-0.154,0.257,38.5,1
7.1,5.5,5,5.0,3,-0.221,0.204,39.7,1
10.3,5.9,3,32.0,3,0.056,0.124,21.0,0
7.9,4.3,2,31.0,4,0.374,0.0,12.1,0
5.5,9.7,8,30.0,1,-0.399,0.704,67.1,2
6.0,3.9,7,47.0,2,-0.468,0.536,44.2,1
7.6,8.2,3,51.0,5,0.462,0.0,13.4,0
5.3,9.1,7,12.0,1,-0.55,0.451,67.2,2
5.5,11.0,10,14.0,3,0.424,0.775,70.7,2
5.2,9.8,7,15.0,2,-0.416,0.459,62.4,1
5.6,8.7,6,22.0,3,0.128,0.323,48.7,1
3.7,11.1,8,28.0,2,-0.517,0.49,73.0,2
8.0,6.1,4,42.0,3,0.425,0.317,24.3,0
8.7,8.7,7,26.0,3,-0.09,0.39,43.7,1
6.7,6.7,6,0.0,3,0.113,0.19,45.9,1
5.4,10.9,9,0.0,2,-0.276,0.59,70.9,2
5.1,13.5,8,0.0,3,-0.557,0.437,70.5,2
8.9,5.5,3,42.0,4,0.349,0.008,15.5,0
7.2,7.5,6,57.0,4,0.48,0.166,30.1,0
7.4,8.7,5,36.0,4,0.263,0.134,30.7,0
4.3,13.8,10,0.0,2,-0.252,0.664,83.1,2
7.2,6.9,2,62.0,4,0.465,0.0,17.2,0
9.3,5.9,2,76.0,4,0.539,0.0,8.8,0
9.0,4.8,4,31.0,3,0.02,0.075,24.4,0
4.9,8.0,7,3.0,3,-0.376,0.312,52.6,1
7.6,9.5,6,38.0,4,-0.07,0.18,34.7,1
5.8,7.8,7,23.0,3,0.233,0.3,47.3,1
5.9,9.3,2,26.0,3,-0.194,0.0,33.5,0
6.1,5.6,2,42.0,3,-0.119,0.0,28.6,0
5.3,12.1,8,30.0,2,-0.209,0.579,65.0,1
7.6,7.1,2,41.0,5,0.858,0.0,10.5,0
3.9,8.4,7,35.0,2,-0.494,0.513,63.1,1
6.3,5.6,6,25.0,5,0.251,0.198,30.4,0
3.9,9.7,8,34.0,2,-0.461,0.563,68.8,2
6.2,7.3,5,68.0,5,0.438,0.002,22.4,0
8.3,6.4,4,30.0,3,-0.22,0.129,26.5,0
7.8,4.1,2,58.0,3,-0.146,0.0,19.6,0
7.7,5.4,1,60.0,5,0.473,0.0,0.5,0
6.2,6.6,7,13.0,4,0.272,0.302,38.3,1
9.0,9.0,2,67.0,5,0.582,0.0,13.5,0
5.9,9.6,5,36.0,3,0.135,0.28,43.1,1
9.3,4.1,2,71.0,5,0.39,0.0,7.0,0
3.7,10.1,8,1.0,1,-0.855,0.612,80.1,2
8.1,9.8,3,50.0,3,0.133,0.109,27.7,0
7.6,5.8,2,61.0,4,0.561,0.0,14.1,0
5.7,12.5,9,31.0,1,-0.528,0.702,75.9,2
8.7,7.4,3,30.0,5,0.846,0.0,12.7,0
8.4,6.6,5,13.0,3,-0.085,0.21,33.0,0
6.9,9.2,4,40.0,3,0.599,0.155,27.3,0
8.1,6.1,3,54.0,3,0.017,0.059,21.5,0
6.6,7.2,1,44.0,3,0.63,0.028,18.9,0
10.1,6.3,3,50.0,4,0.418,0.0,16.5,0
7.4,8.2,9,37.0,4,0.591,0.469,37.6,1
8.5,5.7,5,51.0,3,-0.195,0.146,29.0,0
6.5,12.2,7,7.0,3,0.014,0.408,62.3,1
5.1,12.9,9,13.0,2,-0.362,0.49,72.1,2
5.1,8.5,6,49.0,3,0.325,0.294,44.5,1
5.2,6.9,4,48.0,3,-0.196,0.204,36.9,1
6.4,8.9,5,37.0,2,-0.573,0.295,49.4,1
9.3,7.7,2,49.0,5,0.433,0.0,11.9,0
5.9,8.1,7,19.0,3,0.117,0.382,49.5,1
5.3,11.0,4,43.0,3,-0.077,0.165,44.7,1
7.8,9.5,4,52.0,3,0.036,0.014,33.8,0
7.3,5.3,5,4.0,3,0.129,0.193,33.8,0
7.1,7.3,4,24.0,3,-0.048,0.29,39.2,1
3.8,11.7,9,24.0,1,-0.567,0.694,83.5,2
7.7,5.7,4,66.0,3,-0.206,0.049,20.6,0
3.1,11.8,9,13.0,3,-0.243,0.494,77.0,2
5.4,6.2,7,20.0,2,-0.149,0.531,55.3,1
4.1,11.5,10,25.0,2,-0.073,0.788,74.8,2
4.6,10.3,8,17.0,3,0.348,0.319,58.9,1
4.6,9.8,8,32.0,1,-0.573,0.653,70.5,2
6.5,9.1,5,31.0,2,-0.093,0.375,47.6,1
8.0,7.7,4,22.0,3,0.238,0.209,27.8,0
3.0,11.9,9,5.0,2,-0.031,0.648,79.5,2
7.1,11.7,9,8.0,2,-0.155,0.628,64.1,1
5.2,11.8,6,0.0,2,-0.097,0.416,64.5,1
3.8,11.4,9,8.0,2,-0.445,0.556,79.0,2
8.0,3.5,4,27.0,4,0.2,0.059,25.3,0
5.5,13.3,10,9.0,1,-0.795,0.889,81.6,2
4.0,9.9,7,0.0,2,-0.422,0.609,68.8,2
7.3,6.5,6,15.0,2,-0.377,0.345,46.9,1
4.4,15.0,8,10.0,2,-0.111,0.663,75.6,2
6.8,11.0,6,32.0,3,0.059,0.209,47.1,1
6.5,11.9,8,32.0,2,-0.424,0.626,64.4,1
9.1,6.6,1,60.0,5,0.768,0.0,4.4,0
4.2,11.8,10,0.0,2,-0.193,0.76,80.3,2
6.5,6.5,5,34.0,3,-0.127,0.219,34.3,1
5.3,10.2,8,0.0,2,-0.207,0.634,68.7,2
8.0,3.7,2,51.0,4,0.197,0.0,16.5,0
6.3,10.0,3,32.0,4,0.24,0.0,32.2,0
7.1,6.9,2,43.0,4,0.151,0.0,16.8,0
6.4,9.2,7,0.0,2,-0.175,0.514,57.5,1
7.1,8.7,8,15.0,3,-0.327,0.465,50.2,1
6.0,8.8,7,32.0,4,0.318,0.267,43.7,1
7.9,3.7,3,42.0,4,0.203,0.0,16.6,0
7.9,5.1,3,50.0,4,0.275,0.0,15.6,0
6.5,8.1,4,63.0,5,0.551,0.02,19.3,0
4.1,10.9,10,7.0,1,-0.64,0.922,84.7,2
6.8,5.7,3,42.0,3,-0.443,0.0,27.8,0
4.1,13.1,7,36.0,2,-0.28,0.668,73.4,2
7.9,4.2,3,61.0,3,-0.036,0.009,19.2,0
5.1,9.8,5,23.0,3,0.242,0.192,47.8,1
7.3,9.4,6,40.0,2,-0.298,0.387,44.6,1
5.4,10.5,8,16.0,1,-0.581,0.596,70.3,2
6.8,7.3,7,19.0,2,0.018,0.524,49.7,1
7.0,10.1,5,6.0,2,-0.252,0.384,52.9,1
5.2,7.3,6,12.0,3,-0.091,0.239,44.8,1
3.9,9.1,8,0.0,3,0.044,0.408,67.7,2
7.6,5.0,3,56.0,5,0.234,0.0,12.2,0
4.1,11.0,9,16.0,2,-0.302,0.758,73.3,2
9.7,3.8,3,38.0,3,-0.094,0.089,22.0,0
3.0,12.8,8,7.0,2,-0.332,0.713,80.9,2
9.0,7.5,2,69.0,5,0.792,0.0,7.8,0
8.7,6.5,2,39.0,4,-0.117,0.0,19.0,0
8.4,6.4,2,22.0,4,0.293,0.0,17.4,0
4.6,9.3,7,1.0,1,-0.28,0.532,71.0,2
3.2,9.9,9,9.0,2,-0.627,0.716,81.3,2
6.7,7.5,3,66.0,5,0.57,0.0,14.3,0
3.2,9.7,7,0.0,1,-0.52,0.635,81.0,2
8.3,6.2,5,35.0,3,-0.064,0.155,28.5,0
7.5,5.0,3,41.0,3,0.172,0.0,22.5,0
9.6,9.2,3,56.0,4,-0.096,0.068,24.9,0
9.0,8.5,3,29.0,4,0.315,0.022,21.2,0
8.0,9.6,6,22.0,3,-0.147,0.379,41.8,1
7.0,7.4,6,35.0,2,-0.047,0.517,47.8,1
5.0,13.1,10,16.0,2,-0.312,0.587,75.7,2
4.9,11.0,9,4.0,2,-0.101,0.683,73.9,2
7.0,8.2,6,16.0,3,0.087,0.349,45.2,1
9.3,3.1,2,69.0,3,0.226,0.194,13.9,0
6.9,9.1,7,24.0,3,-0.197,0.34,48.6,1
9.2,5.4,3,45.0,5,0.629,0.0,9.7,0
5.3,6.9,8,40.0,2,-0.375,0.553,56.7,1
7.2,6.2,2,46.0,4,0.439,0.0,15.2,0
6.3,5.5,1,26.0,4,0.307,0.0,17.4,0
6.2,5.4,5,48.0,4,0.558,0.05,26.8,0
9.1,6.0,4,17.0,5,0.427,0.0,20.1,0
10.6,5.8,4,51.0,4,0.626,0.075,14.5,0
6.3,11.0,8,0.0,2,-0.155,0.481,65.7,1
8.4,6.4,1,58.0,5,0.707,0.0,4.7,0
8.0,8.1,2,42.0,4,0.363,0.0,18.7,0
7.7,9.7,6,18.0,2,-0.46,0.25,46.0,1
6.7,8.9,5,24.0,2,-0.338,0.301,49.9,1
4.6,8.2,9,10.0,1,-0.522,0.871,76.0,2
5.0,12.5,9,27.0,2,-0.136,0.663,73.2,2
4.7,11.3,8,29.0,1,-0.581,0.676,76.7,2
3.5,10.5,8,12.0,3,0.002,0.38,67.1,2
9.6,10.1,7,46.0,4,0.396,0.338,37.0,1
7.6,7.6,6,25.0,4,0.225,0.303,35.3,1
6.8,6.9,2,41.0,3,0.326,0.084,26.9,0
9.4,8.1,1,64.0,4,0.375,0.0,12.9,0
6.6,13.1,10,47.0,3,0.023,0.445,59.9,1
7.1,10.2,5,37.0,3,0.159,0.296,41.1,1
8.8,7.9,4,30.0,4,0.362,0.0,27.2,0
4.7,12.9,8,0.0,1,-0.617,0.668,84.2,2
5.3,8.4,6,18.0,3,0.05,0.466,50.8,1
7.2,10.8,8,25.0,1,-0.223,0.596,61.8,1
8.8,9.6,3,19.0,4,0.076,0.0,27.5,0
6.0,6.0,2,16.0,4,0.323,0.0,25.0,0
10.5,7.4,3,52.0,5,0.799,0.0,12.8,0
4.4,10.6,9,0.0,2,-0.592,0.531,75.0,2
6.9,5.2,3,68.0,3,0.178,0.178,21.8,0
7.4,11.0,4,18.0,1,-0.424,0.407,48.1,1
3.7,11.4,10,0.0,2,-0.282,0.815,82.3,2
6.3,4.3,1,57.0,4,0.641,0.0,14.2,0
7.5,6.7,4,35.0,3,-0.125,0.26,33.6,0
9.8,5.9,1,74.0,3,0.062,0.0,10.6,0
7.8,8.0,3,32.0,4,0.554,0.02,20.0,0
6.5,10.6,5,54.0,3,0.231,0.072,38.6,1
7.3,5.7,1,45.0,4,0.439,0.0,10.4,0
9.1,4.9,3,44.0,5,0.963,0.0,9.5,0
4.2,10.9,9,29.0,3,-0.106,0.546,68.0,2
4.1,11.9,9,8.0,1,-0.514,0.786,83.8,2
8.0,4.7,4,42.0,5,0.403,0.0,10.8,0
5.2,10.4,7,49.0,2,-0.441,0.504,59.8,1
5.8,5.9,5,15.0,2,-0.302,0.358,47.8,1
3.6,10.2,10,10.0,1,-0.827,0.731,86.8,2
7.7,3.0,4,52.0,4,0.472,0.108,19.5,0
8.4,6.9,3,46.0,4,0.268,0.0,17.3,0
4.7,11.2,8,0.0,1,-0.131,0.667,72.4,2
9.2,9.0,5,34.0,2,-0.249,0.226,37.1,1
8.1,7.1,4,51.0,4,0.404,0.068,19.6,0
9.4,6.1,3,52.0,4,0.102,0.0,14.1,0
9.3,9.8,6,43.0,2,-0.368,0.376,45.9,1
4.7,13.7,7,14.0,1,-0.517,0.64,75.4,2
7.1,5.1,4,35.0,2,-0.402,0.36,37.8,1
6.6,9.5,4,12.0,2,-0.516,0.122,46.0,1
6.8,9.5,4,43.0,4,0.272,0.0,30.9,0
6.5,10.8,5,32.0,1,-0.668,0.314,57.3,1
9.8,9.4,1,46.0,3,-0.017,0.002,19.3,0
3.6,11.6,8,33.0,1,-0.788,0.586,81.6,2
6.6,3.8,3,35.0,5,0.719,0.0,16.1,0
8.9,8.2,3,52.0,3,-0.427,0.0,26.5,0
9.7,4.4,3,52.0,4,0.251,0.0,18.1,0
6.9,8.3,3,26.0,5,0.59,0.0,23.0,0
8.6,5.2,2,63.0,4,0.048,0.058,12.5,0
8.3,5.7,2,75.0,5,0.437,0.0,5.4,0
4.3,7.0,6,18.0,2,-0.614,0.352,55.8,1
7.4,9.5,4,25.0,2,-0.559,0.177,43.3,1
8.6,6.2,6,39.0,5,0.305,0.23,24.5,0
6.9,13.0,7,12.0,1,-0.951,0.602,74.3,2
7.1,8.8,4,39.0,5,0.857,0.0,18.7,0
4.4,12.3,7,26.0,3,-0.038,0.402,63.1,1
7.7,5.7,4,55.0,4,0.026,0.002,19.8,0
7.8,9.8,6,41.0,4,0.649,0.189,31.2,0
3.5,11.2,7,5.0,2,-0.336,0.688,73.0,2
7.7,7.4,4,68.0,4,0.041,0.066,21.1,0
7.7,6.3,5,32.0,2,-0.259,0.266,38.9,1
5.2,9.5,9,0.0,1,-0.326,0.778,75.1,2
8.8,4.3,5,40.0,4,0.396,0.086,18.9,0
4.2,10.8,8,16.0,1,-0.291,0.565,70.2,2
7.4,6.5,4,39.0,4,0.428,0.0,24.8,0
5.9,13.4,8,31.0,2,0.071,0.56,68.4,2
4.7,13.2,7,33.0,2,-0.143,0.569,66.3,1
6.3,7.5,5,51.0,2,-0.45,0.32,42.5,1
3.8,10.9,8,14.0,2,-0.117,0.672,77.1,2
6.2,6.0,6,33.0,2,-0.339,0.445,49.1,1
7.7,6.1,2,45.0,4,0.184,0.0,11.9,0
6.5,6.0,6,20.0,3,-0.017,0.333,39.3,1
9.0,4.8,2,51.0,5,0.3,0.0,9.8,0
8.0,6.8,3,38.0,3,0.121,0.021,24.3,0
5.8,11.3,9,6.0,2,-0.284,0.507,69.3,2
5.4,14.1,8,5.0,2,-0.096,0.593,71.7,2
5.9,8.2,7,6.0,3,0.117,0.335,50.6,1
6.4,8.6,7,35.0,3,-0.351,0.363,48.3,1
5.7,12.2,8,0.0,2,-0.069,0.577,69.7,2
4.1,12.2,9,17.0,2,-0.012,0.581,76.1,2
8.2,5.6,1,36.0,5,0.411,0.0,8.7,0
6.6,5.9,1,66.0,4,0.144,0.0,15.0,0
6.8,9.7,5,33.0,3,0.03,0.222,42.9,1
